Modelo,MAE,RMSE,MAPE
LightGBM,341.98669330159845,455.7069244081179,41.880008892125325
Ensemble Ponderado,353.83555002213745,465.7123271785982,44.029907947551074
Ensemble Simple,354.27287686175487,466.0775539964102,44.110514855072
ARIMA,366.7959342964648,476.57710051118414,46.42398027261286
Stacking (RandomForest),456.88626137656956,506.38831922075076,43.377414926677595
Stacking (Ridge),516.1454880760438,538.1010299827817,49.55687722764992
Stacking (Lasso),516.201402117161,538.0697962557041,49.56340109641654
